id,article_id,title,date_published,source,url,text_excerpt,narrative_type,emotion_label,theme_label
1,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,I remember the officers banging on our door before sunrise.,direct_testimony,fear,Detention Conditions
2,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,Neighbors said they saw people being taken without warning.,reporter_description,shock,Family Separation
3,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,My children were crying as agents entered our home.,direct_testimony,fear,Family Separation
4,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,She described the raid as the most terrifying moment of her life.,reporter_description,fear,Family Separation
5,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,Witnesses reported that several families were detained.,reporter_description,fear,Community Organizing
6,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,They told us to stand outside while they searched the house.,reporter_description,sadness,Legal Barriers
7,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,We didn’t know where my father was taken.,direct_testimony,sadness,Community Organizing
8,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,He said the agents broke the lock without identifying themselves.,reporter_description,fear,Detention Conditions
9,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,I was preparing breakfast when they shouted for us to get out.,direct_testimony,anger,Community Organizing
10,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,Residents described agents with rifles moving through the hallway.,reporter_description,anger,Detention Conditions
11,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,My family still has nightmares about that morning.,direct_testimony,fear,Family Separation
12,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,She said the officers gave no explanation before detaining her son.,reporter_description,fear,Community Organizing
13,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,We watched our neighbors being taken in handcuffs.,reporter_description,shock,Family Separation
14,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,He remembers agents surrounding the building.,reporter_description,fear,Deportation Defense
15,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,People in the community said they feared more raids.,reporter_description,fear,Family Separation
16,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,I begged them to let me call my lawyer.,direct_testimony,fear,Deportation Defense
17,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,They told reporters about the emotional impact on children.,reporter_description,fear,Detention Conditions
18,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,My mother fainted when they forced my brother into the van.,direct_testimony,sadness,Legal Barriers
19,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,Witnesses described confusion and chaos outside the home.,reporter_description,fear,Deportation Defense
20,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,We still don’t know why our home was targeted.,direct_testimony,sadness,Detention Conditions
21,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,I remember the officers banging on our door before sunrise.,direct_testimony,anger,Community Organizing
22,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,Neighbors said they saw people being taken without warning.,reporter_description,sadness,Detention Conditions
23,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,My children were crying as agents entered our home.,direct_testimony,anger,Legal Barriers
24,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,She described the raid as the most terrifying moment of her life.,reporter_description,anger,Family Separation
25,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,Witnesses reported that several families were detained.,reporter_description,sadness,Family Separation
26,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,They told us to stand outside while they searched the house.,reporter_description,neutral,Detention Conditions
27,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,We didn’t know where my father was taken.,direct_testimony,fear,Deportation Defense
28,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,He said the agents broke the lock without identifying themselves.,reporter_description,sadness,Legal Barriers
29,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,I was preparing breakfast when they shouted for us to get out.,direct_testimony,neutral,Community Organizing
30,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,Residents described agents with rifles moving through the hallway.,reporter_description,anger,Detention Conditions
31,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,My family still has nightmares about that morning.,direct_testimony,sadness,Family Separation
32,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,She said the officers gave no explanation before detaining her son.,reporter_description,shock,Family Separation
33,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,We watched our neighbors being taken in handcuffs.,reporter_description,shock,Family Separation
34,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,He remembers agents surrounding the building.,reporter_description,anger,Detention Conditions
35,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,People in the community said they feared more raids.,reporter_description,disgust,Detention Conditions
36,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,I begged them to let me call my lawyer.,direct_testimony,shock,Family Separation
37,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,They told reporters about the emotional impact on children.,reporter_description,anger,Legal Barriers
38,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,My mother fainted when they forced my brother into the van.,direct_testimony,fear,Detention Conditions
39,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,Witnesses described confusion and chaos outside the home.,reporter_description,anger,Deportation Defense
40,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,We still don’t know why our home was targeted.,direct_testimony,fear,Family Separation
41,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,I remember the officers banging on our door before sunrise.,direct_testimony,sadness,Family Separation
42,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,Neighbors said they saw people being taken without warning.,reporter_description,anger,Detention Conditions
43,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,My children were crying as agents entered our home.,direct_testimony,fear,Legal Barriers
44,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,She described the raid as the most terrifying moment of her life.,reporter_description,surprise,Detention Conditions
45,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,Witnesses reported that several families were detained.,reporter_description,sadness,Family Separation
46,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,They told us to stand outside while they searched the house.,reporter_description,neutral,Community Organizing
47,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,We didn’t know where my father was taken.,direct_testimony,fear,Detention Conditions
48,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,He said the agents broke the lock without identifying themselves.,reporter_description,fear,Legal Barriers
49,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,I was preparing breakfast when they shouted for us to get out.,direct_testimony,fear,Family Separation
50,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,Residents described agents with rifles moving through the hallway.,reporter_description,anger,Family Separation
51,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,My family still has nightmares about that morning.,direct_testimony,fear,Detention Conditions
52,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,She said the officers gave no explanation before detaining her son.,reporter_description,disgust,Detention Conditions
53,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,We watched our neighbors being taken in handcuffs.,reporter_description,anger,Family Separation
54,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,He remembers agents surrounding the building.,reporter_description,sadness,Family Separation
55,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,People in the community said they feared more raids.,reporter_description,anger,Detention Conditions
56,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,I begged them to let me call my lawyer.,direct_testimony,fear,Family Separation
57,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,They told reporters about the emotional impact on children.,reporter_description,disgust,Family Separation
58,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,My mother fainted when they forced my brother into the van.,direct_testimony,neutral,Community Organizing
59,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,Witnesses described confusion and chaos outside the home.,reporter_description,fear,Legal Barriers
60,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,We still don’t know why our home was targeted.,direct_testimony,sadness,Community Organizing
61,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,I remember the officers banging on our door before sunrise.,direct_testimony,fear,Detention Conditions
62,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,Neighbors said they saw people being taken without warning.,reporter_description,fear,Legal Barriers
63,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,My children were crying as agents entered our home.,direct_testimony,anger,Community Organizing
64,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,She described the raid as the most terrifying moment of her life.,reporter_description,fear,Family Separation
65,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,Witnesses reported that several families were detained.,reporter_description,neutral,Family Separation
66,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,They told us to stand outside while they searched the house.,reporter_description,anger,Family Separation
67,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,We didn’t know where my father was taken.,direct_testimony,anger,Detention Conditions
68,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,He said the agents broke the lock without identifying themselves.,reporter_description,fear,Detention Conditions
69,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,I was preparing breakfast when they shouted for us to get out.,direct_testimony,anger,Family Separation
70,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,Residents described agents with rifles moving through the hallway.,reporter_description,sadness,Family Separation
71,A1,ICE Raid in Chicago Neighborhood,2019-03-12,WBEZ Chicago,https://example.com/article1,My family still has nightmares about that morning.,direct_testimony,fear,Legal Barriers
72,A2,Community Reacts to Immigration Enforcement,2020-07-22,Block Club Chicago,https://example.com/article2,She said the officers gave no explanation before detaining her son.,reporter_description,fear,Legal Barriers
73,A3,Family Separated During Early Morning Raid,2018-11-05,The Chicago Reporter,https://example.com/article3,We watched our neighbors being taken in handcuffs.,reporter_description,anger,Community Organizing
74,A4,Witnesses Describe Chaotic ICE Operation,2021-02-14,ProPublica Illinois,https://example.com/article4,He remembers agents surrounding the building.,reporter_description,fear,Family Separation
75,A5,Residents Share Emotional Impact of Raid,2017-09-30,Injustice Watch,https://example.com/article5,People in the community said they feared more raids.,reporter_description,shock,Deportation Defense
